,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
42,0.0,612.584,-0.0,-12.032,814.23,21.429,-1.3,-4.2,4.3,0.0,0.0,0.0,32767.0,3724.0,-32767.0,11821.0,-0.099,-0.01,-1.477,1.149
43,0.0,533.805,-0.0,-16.616,764.097,20.913,-1.5,2.9,4.8,0.0,0.0,0.0,32767.0,10481.0,-32767.0,5590.0,-0.165,-0.015,-1.333,1.163
44,0.0,456.917,-0.0,-18.965,719.463,20.913,-1.7,9.9,5.2,0.0,0.0,0.0,32767.0,1108.0,-32767.0,12267.0,-0.064,-0.01,-1.366,1.149
45,0.0,382.865,-0.0,-17.017,664.402,23.319,-1.9,16.2,5.6,0.0,0.0,0.0,32767.0,-2882.0,-32767.0,9847.0,-0.117,-0.012,-1.381,1.1360000000000001
46,0.0,312.594,-0.0,-15.642,592.095,24.752,-2.3,21.4,6.2,0.0,0.0,0.0,32767.0,4407.0,-32767.0,10641.0,-0.191,-0.017,-1.3980000000000001,1.122
47,0.0,247.05,-0.0,-12.72,499.906,27.731,-2.5,25.7,6.7,0.0,0.0,0.0,32767.0,-10271.0,-32767.0,9927.0,-0.15,-0.015,-1.429,1.108
48,0.0,187.178,-0.0,-9.11,397.117,27.158,-2.9,28.9,7.2,0.0,0.0,0.0,32767.0,4882.0,-32767.0,11313.0,-0.20700000000000002,-0.019,-1.454,1.093
49,0.0,133.924,-0.0,-13.808,277.426,30.825,-3.3,30.8,7.7,0.0,0.0,0.0,32767.0,11142.0,-7547.0,4488.0,-0.248,-0.022,-1.48,1.079
50,0.0,88.232,-0.0,-15.871,140.547,30.08,-3.7,31.3,8.2,0.0,0.0,0.0,32767.0,-4279.0,-32767.0,19482.0,-0.277,-0.024,-1.506,1.064
51,0.0,51.049,-0.0,-5.042,-2.979,36.497,-3.9,30.7,8.5,0.0,0.0,0.0,32767.0,606.0,18913.0,6315.0,-0.331,-0.028,-1.51,1.052
